Iter,Metric,Area(um^2),Power(uW),Delay(ns),Filename
Org,0.000000,65.70,nan,nan,Org
0,0.124755,67.83,nan,nan,abs_diff_0-0-2
1,0.032167,60.38,nan,nan,abs_diff_1-1-1
2,0.046416,50.27,nan,nan,abs_diff_2-0-1
3,0.036142,42.03,nan,nan,abs_diff_3-0-1
4,0.036202,52.14,nan,nan,abs_diff_4-0-0
5,0.036202,52.67,nan,nan,abs_diff_5-0-0
6,0.036202,52.67,nan,nan,abs_diff_6-0-0
7,0.035190,34.31,nan,nan,abs_diff_7-0-0
8,0.034790,24.74,nan,nan,abs_diff_8-0-0
9,0.135761,26.07,nan,nan,abs_diff_9-0-0
10,0.190623,17.29,nan,nan,abs_diff_10-0-0
