Ranking,Metric,Area(um^2),Power(uW),Delay(ns)
1,0.000925,82.46,nan,nan
2,0.000939,71.55,nan,nan
3,0.001076,70.22,nan,nan
4,0.001077,66.77,nan,nan
5,0.001172,64.37,nan,nan
6,0.001175,60.12,nan,nan
7,0.001229,55.86,nan,nan
8,0.001766,48.94,nan,nan
9,0.001774,44.69,nan,nan
10,0.017063,43.89,nan,nan
11,0.031687,41.50,nan,nan
12,0.031789,33.78,nan,nan
13,0.033697,29.79,nan,nan
14,0.033991,21.81,nan,nan
15,0.257005,21.28,nan,nan
16,0.366166,19.68,nan,nan
17,0.367890,15.69,nan,nan
18,0.425639,14.63,nan,nan
19,0.427561,13.83,nan,nan
20,0.427569,10.11,nan,nan
